playerID,year,stint,tmID,lgID,GP,Min,W,L,T/OL,ENG,SHO,GA,SA,PostGP,PostMin,PostW,PostL,PostT,PostENG,PostSHO,PostGA,PostSA
abbotge01,1943,1,BOS,NHL,1,60,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0
abrahch01,1974,1,NEW,WHA,16,870,8,6,1,0,1,47,504,0,0,0,0,0,0,0,0,0
abrahch01,1975,1,NEW,WHA,41,2385,18,18,2,1,2,136,1221,1,1,0,0,0,0,0,0,0
abrahch01,1976,1,NEW,WHA,45,2484,15,22,4,0,0,159,1438,2,90,0,1,0,0,0,5,51
adamsjo01,1972,1,BOS,NHL,14,780,9,3,1,0,1,39,0,0,0,0,0,0,0,0,0,0
adamsjo01,1974,1,WAS,NHL,8,400,0,7,0,0,0,46,0,0,0,0,0,0,0,0,0,0
aebisda01,2000,1,COL,NHL,26,1393,12,7,3,3,3,52,538,1,1,0,0,0,0,0,0,0
aebisda01,2001,1,COL,NHL,21,1184,13,6,0,4,2,37,538,1,34,0,0,0,0,0,1,14
aebisda01,2002,1,COL,NHL,22,1235,7,12,0,4,1,50,593,0,0,0,0,0,0,0,0,0
aebisda01,2003,1,COL,NHL,62,3703,32,19,9,5,4,129,1703,11,662,6,5,0,1,1,23,295
aebisda01,2005,1,COL,NHL,43,2477,25,14,2,2,3,123,1233,0,0,0,0,0,0,0,0,0
aebisda01,2005,2,MTL,NHL,7,418,4,3,0,1,0,26,240,0,0,0,0,0,0,0,0,0
aikendo01,1957,1,MTL,NHL,1,34,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0
aitkean01,1932,1,NYR,NHL,48,2970,23,17,8,0,3,107,0,8,488,6,1,1,0,2,13,0
aitkean01,1933,1,NYR,NHL,48,2990,21,19,8,0,7,113,0,2,120,0,1,1,0,1,2,0
aitkean01,1934,1,NYR,NHL,10,610,3,7,0,0,1,37,0,0,0,0,0,0,0,0,0,0
almasre01,1946,1,DET,NHL,1,60,0,1,0,0,0,5,0,5,263,1,3,0,0,0,13,0
almasre01,1950,1,CHI,NHL,1,60,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
almasre01,1952,1,DET,NHL,1,60,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
andercr01,2002,1,CHI,NHL,6,270,0,3,2,0,0,18,125,0,0,0,0,0,0,0,0,0
andercr01,2003,1,CHI,NHL,21,1205,6,14,0,4,1,57,602,0,0,0,0,0,0,0,0,0
andercr01,2005,1,CHI,NHL,29,1553,6,12,4,2,1,86,757,0,0,0,0,0,0,0,0,0
anderlo01,1951,1,NYR,NHL,3,180,1,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0
archayv01,1972,1,PHB,WHA,6,260,1,3,0,0,0,17,122,3,153,0,2,0,0,0,11,0
archayv01,1973,1,VAB,WHA,5,263,1,4,0,0,0,27,183,0,0,0,0,0,0,0,0,0
askeyto01,1997,1,ANA,NHL,7,273,0,1,2,2,0,12,113,0,0,0,0,0,0,0,0,0
askeyto01,1998,1,ANA,NHL,0,0,0,0,0,0,0,0,0,1,30,0,1,0,0,0,2,11
astroha01,1977,1,NYR,NHL,4,240,2,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0
